Date,App,Valor
5/14/2026,BlaBlaCar,55.4
10/4/2025,BlaBlaCar,79.53
4/9/2026,BlaBlaCar,82.64
9/6/2025,Uber,65.29
1/23/2026,BlaBlaCar,97.48
8/23/2026,BlaBlaCar,98.12
9/19/2025,BlaBlaCar,58.82
5/20/2026,Uber,16.05
11/16/2025,Uber,37.22
4/26/2026,BlaBlaCar,58.76
5/25/2026,Uber,26.67
9/26/2025,BlaBlaCar,73.67
11/13/2025,Uber,30.31
11/12/2025,BlaBlaCar,86.94
7/10/2026,BlaBlaCar,98.1
10/28/2025,BlaBlaCar,15.84
11/26/2025,BlaBlaCar,36.09
7/18/2026,Uber,71.57
10/21/2025,Uber,26.47
5/6/2026,BlaBlaCar,38.51
10/10/2025,BlaBlaCar,56.28
11/1/2025,Uber,92.67
7/2/2026,Uber,55.49
11/18/2025,BlaBlaCar,90.13
4/11/2026,Uber,85.44
12/17/2025,Uber,97.88
10/25/2025,BlaBlaCar,48.12
4/5/2026,Uber,67.78
6/1/2026,Uber,57.76
10/19/2025,BlaBlaCar,39.81
8/6/2026,BlaBlaCar,92.32
6/21/2026,BlaBlaCar,25.75
7/19/2026,BlaBlaCar,95.38
1/23/2026,BlaBlaCar,80.2
12/18/2025,Uber,36.78
2/12/2026,BlaBlaCar,38.5
5/28/2026,BlaBlaCar,36.49
4/20/2026,BlaBlaCar,79.92
9/11/2025,BlaBlaCar,41.99
5/14/2026,BlaBlaCar,64.14
9/18/2025,BlaBlaCar,64.75
12/26/2025,Uber,43.76
3/24/2026,Uber,73.1
10/4/2025,Uber,36.02
9/9/2025,BlaBlaCar,43.7
4/4/2026,Uber,77.93
11/18/2025,BlaBlaCar,67.04
8/8/2026,Uber,73.57
11/7/2025,BlaBlaCar,62.69
10/13/2025,BlaBlaCar,24.33
1/12/2026,BlaBlaCar,19.13
5/15/2026,BlaBlaCar,71.6
1/28/2026,Uber,35.75
9/18/2025,BlaBlaCar,42.59
12/9/2025,BlaBlaCar,32.6
1/22/2026,BlaBlaCar,82.81
11/5/2025,BlaBlaCar,15.57
12/18/2025,BlaBlaCar,71.61
5/9/2026,BlaBlaCar,91.0
6/10/2026,Uber,96.93
1/8/2026,BlaBlaCar,96.32
5/5/2026,Uber,39.84
2/11/2026,BlaBlaCar,69.59
11/27/2025,Uber,20.27
1/21/2026,Uber,23.03
6/7/2026,BlaBlaCar,27.64
1/20/2026,Uber,42.58
1/10/2026,BlaBlaCar,65.71
5/19/2026,Uber,28.7
9/2/2026,BlaBlaCar,55.82
1/21/2026,BlaBlaCar,31.75
5/17/2026,Uber,36.59
2/14/2026,BlaBlaCar,95.59
2/3/2026,BlaBlaCar,34.48
9/21/2025,BlaBlaCar,61.97
4/13/2026,Uber,99.49
6/22/2026,Uber,82.11
12/28/2025,Uber,85.73
10/15/2025,Uber,65.97
9/7/2025,Uber,30.23
7/5/2026,BlaBlaCar,84.67
8/25/2026,BlaBlaCar,88.26
10/24/2025,Uber,43.25
9/27/2025,BlaBlaCar,80.56
1/8/2026,BlaBlaCar,77.3
12/29/2025,Uber,87.25
5/11/2026,Uber,95.79
9/5/2025,BlaBlaCar,64.25
11/12/2025,Uber,23.72
10/30/2025,BlaBlaCar,93.49
6/17/2026,BlaBlaCar,94.79
8/21/2026,Uber,32.36
6/21/2026,BlaBlaCar,94.54
6/16/2026,Uber,79.12
11/14/2025,Uber,76.82
5/15/2026,Uber,86.05
2/9/2026,Uber,25.41
1/8/2026,BlaBlaCar,60.0
12/12/2025,BlaBlaCar,47.7
2/24/2026,Uber,92.26
4/26/2026,Uber,86.53
1/18/2026,BlaBlaCar,42.24
1/20/2026,BlaBlaCar,32.82
11/10/2025,Uber,64.69
1/20/2026,BlaBlaCar,26.91
10/31/2025,BlaBlaCar,39.36
5/24/2026,Uber,59.99
1/27/2026,BlaBlaCar,34.25
6/23/2026,Uber,53.32
1/5/2026,Uber,96.11
2/28/2026,Uber,49.56
4/17/2026,BlaBlaCar,91.93
1/24/2026,Uber,56.96
4/21/2026,Uber,44.46
9/9/2025,Uber,34.83
5/12/2026,Uber,79.42
11/12/2025,BlaBlaCar,70.28
9/28/2025,BlaBlaCar,39.98
7/27/2026,Uber,32.64
3/18/2026,BlaBlaCar,45.71
10/24/2025,Uber,44.38
9/7/2025,BlaBlaCar,98.1
1/9/2026,Uber,63.79
9/15/2025,Uber,91.73
5/1/2026,Uber,15.76
7/26/2026,Uber,78.1
8/3/2026,Uber,37.19
1/11/2026,Uber,28.72
8/20/2026,BlaBlaCar,69.47
5/28/2026,BlaBlaCar,45.37
5/17/2026,Uber,28.15
7/26/2026,Uber,61.99
10/12/2025,Uber,27.95
7/3/2026,BlaBlaCar,16.02
4/5/2026,Uber,46.17
3/19/2026,BlaBlaCar,43.18
11/29/2025,Uber,45.36
10/13/2025,BlaBlaCar,50.84
3/6/2026,BlaBlaCar,35.53
8/19/2026,BlaBlaCar,16.61
12/13/2025,BlaBlaCar,42.65
3/16/2026,BlaBlaCar,91.31
6/21/2026,Uber,81.32
9/29/2025,BlaBlaCar,76.23
12/14/2025,BlaBlaCar,63.7
4/10/2026,Uber,92.22
5/28/2026,Uber,94.43
11/3/2025,BlaBlaCar,77.65
12/3/2025,BlaBlaCar,68.42
5/1/2026,Uber,31.73
1/4/2026,BlaBlaCar,43.6
5/11/2026,Uber,85.29
9/13/2025,BlaBlaCar,24.14
8/10/2026,Uber,90.77
1/10/2026,BlaBlaCar,89.36
9/4/2025,BlaBlaCar,62.72
4/3/2026,BlaBlaCar,88.24
5/19/2026,BlaBlaCar,70.08
11/1/2025,Uber,49.23
5/23/2026,Uber,61.9
1/9/2026,BlaBlaCar,85.41
2/26/2026,BlaBlaCar,61.99
3/15/2026,Uber,50.59
11/18/2025,Uber,49.33
3/26/2026,BlaBlaCar,52.4
12/8/2025,Uber,86.31
7/7/2026,BlaBlaCar,37.48
1/27/2026,BlaBlaCar,86.86
7/1/2026,BlaBlaCar,57.63
2/18/2026,Uber,39.34
12/9/2025,BlaBlaCar,63.57
9/6/2025,BlaBlaCar,15.84
6/4/2026,Uber,52.73
8/24/2026,BlaBlaCar,81.43
8/5/2026,Uber,73.94
5/31/2026,BlaBlaCar,19.08
3/7/2026,Uber,70.19
7/7/2026,BlaBlaCar,46.89
9/14/2025,Uber,59.77
3/29/2026,BlaBlaCar,63.09
1/7/2026,BlaBlaCar,29.57
2/23/2026,BlaBlaCar,64.23
11/15/2025,Uber,79.04
7/16/2026,BlaBlaCar,55.37
11/29/2025,BlaBlaCar,15.14
5/10/2026,BlaBlaCar,19.12
12/1/2025,BlaBlaCar,91.13
1/31/2026,BlaBlaCar,31.97
7/26/2026,Uber,73.02
3/31/2026,BlaBlaCar,90.43
2/14/2026,BlaBlaCar,92.19
6/18/2026,BlaBlaCar,84.85
6/9/2026,Uber,52.03
1/9/2026,BlaBlaCar,21.86
8/4/2026,Uber,32.12
7/14/2026,Uber,22.02
3/10/2026,BlaBlaCar,91.13
9/28/2025,Uber,64.11
4/18/2026,Uber,36.94
5/18/2026,Uber,51.96
11/27/2025,BlaBlaCar,89.07
9/20/2025,Uber,34.58
8/22/2026,BlaBlaCar,17.59
7/16/2026,Uber,21.11
9/7/2025,Uber,19.54
4/3/2026,Uber,16.14
4/11/2026,Uber,63.62
4/5/2026,BlaBlaCar,59.57
9/7/2025,BlaBlaCar,61.21
8/2/2026,Uber,23.05
11/14/2025,BlaBlaCar,57.15
1/28/2026,BlaBlaCar,41.41
11/4/2025,BlaBlaCar,80.25
12/22/2025,Uber,54.26
4/22/2026,BlaBlaCar,37.65
2/20/2026,Uber,87.45
11/26/2025,BlaBlaCar,93.98
11/9/2025,Uber,65.06
11/13/2025,BlaBlaCar,73.03
10/23/2025,Uber,94.54
12/20/2025,Uber,16.39
1/15/2026,BlaBlaCar,38.22
3/31/2026,Uber,27.26
6/16/2026,Uber,48.64
8/13/2026,Uber,70.72
2/21/2026,BlaBlaCar,93.5
1/5/2026,BlaBlaCar,49.53
1/5/2026,BlaBlaCar,82.69
1/19/2026,BlaBlaCar,65.99
6/7/2026,Uber,73.45
6/14/2026,BlaBlaCar,44.3
2/1/2026,Uber,37.42
10/29/2025,Uber,68.21
8/13/2026,BlaBlaCar,48.42
11/5/2025,Uber,93.15
4/14/2026,BlaBlaCar,81.88
3/5/2026,Uber,27.28
5/14/2026,BlaBlaCar,60.03
12/1/2025,BlaBlaCar,62.07
4/27/2026,Uber,35.53
10/27/2025,Uber,87.46
2/9/2026,BlaBlaCar,74.76
1/8/2026,Uber,58.84
5/23/2026,BlaBlaCar,22.14
9/30/2025,Uber,46.41
12/3/2025,BlaBlaCar,76.46
1/29/2026,Uber,45.66
9/14/2025,BlaBlaCar,86.2
2/7/2026,Uber,22.38
2/4/2026,Uber,69.01
5/11/2026,Uber,36.46
5/11/2026,BlaBlaCar,39.14
8/18/2026,Uber,72.49
12/20/2025,Uber,62.47
3/8/2026,Uber,17.24
10/15/2025,BlaBlaCar,42.36
12/30/2025,Uber,61.07
1/22/2026,BlaBlaCar,21.89
11/6/2025,BlaBlaCar,27.25
3/8/2026,BlaBlaCar,19.94
5/2/2026,BlaBlaCar,62.22
7/26/2026,Uber,69.88
8/12/2026,Uber,39.65
8/5/2026,BlaBlaCar,60.97
7/29/2026,BlaBlaCar,93.47
4/21/2026,Uber,33.11
12/29/2025,BlaBlaCar,20.11
12/4/2025,BlaBlaCar,49.52
3/17/2026,Uber,31.43
1/22/2026,BlaBlaCar,58.32
2/25/2026,BlaBlaCar,55.87
2/10/2026,BlaBlaCar,95.34
3/24/2026,Uber,40.5
8/27/2026,Uber,25.88
11/18/2025,Uber,85.08
2/21/2026,Uber,88.6
1/11/2026,Uber,31.74
12/3/2025,Uber,71.4
1/31/2026,Uber,92.2
2/14/2026,BlaBlaCar,47.19
3/31/2026,Uber,18.34
1/25/2026,Uber,51.2
5/11/2026,BlaBlaCar,63.65
9/30/2025,BlaBlaCar,49.12
6/1/2026,Uber,29.4
8/28/2026,Uber,69.75
6/11/2026,Uber,94.95
6/27/2026,Uber,63.84
8/12/2026,Uber,49.67
3/24/2026,Uber,97.45
11/30/2025,Uber,36.22
9/1/2026,Uber,61.14
5/17/2026,BlaBlaCar,45.32
3/10/2026,Uber,72.24
8/26/2026,BlaBlaCar,78.87
5/4/2026,BlaBlaCar,53.7
8/1/2026,Uber,77.53
3/19/2026,Uber,82.76
5/18/2026,BlaBlaCar,28.85
7/14/2026,BlaBlaCar,55.0
3/25/2026,BlaBlaCar,48.58
1/16/2026,Uber,21.26
8/23/2026,BlaBlaCar,18.35
7/19/2026,BlaBlaCar,50.16
10/25/2025,BlaBlaCar,62.86
3/17/2026,Uber,97.77
6/9/2026,BlaBlaCar,79.7
8/25/2026,BlaBlaCar,79.08
10/27/2025,BlaBlaCar,61.59
6/11/2026,BlaBlaCar,74.64
9/29/2025,Uber,37.22
3/25/2026,Uber,29.06
8/10/2026,Uber,55.82
10/6/2025,Uber,50.52
9/11/2025,BlaBlaCar,76.81
3/22/2026,BlaBlaCar,80.58
6/6/2026,BlaBlaCar,84.61
7/18/2026,Uber,56.35
2/8/2026,BlaBlaCar,27.21
9/7/2025,BlaBlaCar,50.17
6/2/2026,Uber,70.85
8/12/2026,Uber,26.06
7/28/2026,Uber,17.04
1/1/2026,Uber,21.29
12/4/2025,Uber,68.46
1/8/2026,BlaBlaCar,42.14
10/1/2025,Uber,56.54
11/27/2025,Uber,56.34
1/23/2026,BlaBlaCar,36.43
4/29/2026,Uber,70.67
10/11/2025,Uber,75.78
7/18/2026,Uber,23.26
8/29/2026,Uber,99.9
1/22/2026,BlaBlaCar,32.24
11/15/2025,BlaBlaCar,78.48
11/11/2025,Uber,55.89
3/21/2026,BlaBlaCar,65.65
1/16/2026,Uber,56.84
6/8/2026,Uber,63.97
11/6/2025,Uber,39.89
10/8/2025,BlaBlaCar,32.39
4/8/2026,BlaBlaCar,88.68
3/2/2026,BlaBlaCar,42.01
2/23/2026,Uber,91.23
12/11/2025,Uber,33.44
10/28/2025,Uber,88.13
6/21/2026,Uber,69.18
2/4/2026,BlaBlaCar,34.82
12/30/2025,BlaBlaCar,43.8
6/30/2026,BlaBlaCar,68.96
11/7/2025,Uber,53.01
6/30/2026,BlaBlaCar,58.3
2/10/2026,BlaBlaCar,58.98
5/23/2026,BlaBlaCar,36.57
12/20/2025,BlaBlaCar,47.2
2/9/2026,BlaBlaCar,71.81
3/5/2026,BlaBlaCar,64.82
9/30/2025,Uber,58.36
3/6/2026,Uber,91.92
11/22/2025,BlaBlaCar,68.85
8/24/2026,Uber,63.67
6/22/2026,BlaBlaCar,50.75
12/2/2025,BlaBlaCar,39.02
10/3/2025,BlaBlaCar,98.97
6/25/2026,BlaBlaCar,81.22
3/13/2026,BlaBlaCar,56.66
3/24/2026,Uber,25.75
10/1/2025,BlaBlaCar,66.38
7/13/2026,Uber,29.47
7/13/2026,Uber,63.75
4/18/2026,Uber,32.22
10/2/2025,BlaBlaCar,51.07
6/15/2026,Uber,99.41
7/17/2026,Uber,47.27
8/18/2026,BlaBlaCar,48.93
7/10/2026,BlaBlaCar,20.96
8/7/2026,Uber,77.98
11/8/2025,BlaBlaCar,51.21
11/29/2025,BlaBlaCar,80.12
1/7/2026,Uber,62.89
8/29/2026,Uber,99.06
11/12/2025,Uber,97.04
7/31/2026,Uber,25.76
1/24/2026,BlaBlaCar,17.94
11/7/2025,BlaBlaCar,58.85
2/20/2026,Uber,90.73
11/18/2025,BlaBlaCar,50.22
7/3/2026,Uber,95.23
8/25/2026,BlaBlaCar,55.52
7/30/2026,Uber,26.67
1/16/2026,Uber,69.05
7/22/2026,Uber,84.27
12/16/2025,Uber,98.17
5/20/2026,BlaBlaCar,29.18
2/7/2026,Uber,96.43
11/14/2025,BlaBlaCar,91.15
5/17/2026,BlaBlaCar,81.94
7/8/2026,Uber,62.43
7/26/2026,BlaBlaCar,72.9
11/26/2025,BlaBlaCar,61.05
1/26/2026,BlaBlaCar,83.06
9/4/2025,BlaBlaCar,26.6
8/1/2026,BlaBlaCar,20.96
9/11/2025,Uber,87.93
7/16/2026,Uber,49.12
2/9/2026,BlaBlaCar,29.13
9/15/2025,BlaBlaCar,31.34
12/3/2025,Uber,82.04
2/17/2026,Uber,62.9
8/18/2026,BlaBlaCar,71.8
6/16/2026,Uber,64.8
11/25/2025,BlaBlaCar,76.18
7/29/2026,BlaBlaCar,78.57
3/8/2026,BlaBlaCar,23.97
8/26/2026,BlaBlaCar,90.93
12/13/2025,Uber,98.81
8/24/2026,BlaBlaCar,26.68
11/11/2025,Uber,16.25
10/25/2025,Uber,61.88
1/15/2026,Uber,31.76
9/6/2025,Uber,85.08
6/24/2026,Uber,37.05
12/9/2025,BlaBlaCar,80.09
3/7/2026,BlaBlaCar,40.91
7/25/2026,BlaBlaCar,98.42
4/1/2026,BlaBlaCar,59.46
2/4/2026,Uber,64.34
8/17/2026,BlaBlaCar,72.45
6/22/2026,Uber,27.03
4/10/2026,Uber,52.44
1/13/2026,BlaBlaCar,76.12
2/15/2026,BlaBlaCar,87.82
7/12/2026,BlaBlaCar,71.59
12/30/2025,BlaBlaCar,95.04
5/23/2026,Uber,25.18
9/27/2025,BlaBlaCar,61.36
6/6/2026,Uber,19.91
9/25/2025,BlaBlaCar,49.63
5/9/2026,BlaBlaCar,86.4
3/30/2026,Uber,58.77
11/2/2025,BlaBlaCar,86.72
7/12/2026,Uber,57.19
8/9/2026,Uber,47.44
8/21/2026,Uber,29.53
4/7/2026,Uber,94.69
10/18/2025,BlaBlaCar,47.39
4/20/2026,Uber,21.74
6/13/2026,BlaBlaCar,37.58
3/21/2026,BlaBlaCar,35.29
5/3/2026,Uber,50.73
9/22/2025,Uber,69.12
2/18/2026,Uber,98.42
1/30/2026,Uber,78.52
10/16/2025,Uber,95.36
2/24/2026,Uber,18.62
6/9/2026,BlaBlaCar,88.1
12/11/2025,BlaBlaCar,29.46
6/16/2026,Uber,18.18
10/1/2025,BlaBlaCar,28.2
12/17/2025,BlaBlaCar,70.9
1/26/2026,BlaBlaCar,55.25
11/2/2025,Uber,37.77
10/30/2025,Uber,48.08
12/22/2025,BlaBlaCar,89.67
2/21/2026,BlaBlaCar,91.54
2/13/2026,Uber,24.71
10/7/2025,BlaBlaCar,38.22
12/20/2025,Uber,20.88
3/9/2026,BlaBlaCar,58.79
4/4/2026,Uber,58.16
1/22/2026,BlaBlaCar,35.88
10/29/2025,BlaBlaCar,97.52
8/26/2026,BlaBlaCar,26.19
8/30/2026,BlaBlaCar,69.08
9/9/2025,BlaBlaCar,30.54
12/5/2025,BlaBlaCar,15.43
10/3/2025,BlaBlaCar,32.72
11/24/2025,BlaBlaCar,74.0
2/25/2026,BlaBlaCar,65.65
9/29/2025,BlaBlaCar,32.12
6/23/2026,BlaBlaCar,81.24
11/18/2025,BlaBlaCar,89.19
11/27/2025,Uber,66.81
10/26/2025,BlaBlaCar,75.96
5/14/2026,Uber,23.69
12/18/2025,BlaBlaCar,69.73
5/8/2026,BlaBlaCar,87.79
9/6/2025,BlaBlaCar,63.55
7/4/2026,Uber,96.54
12/19/2025,Uber,43.23
2/24/2026,Uber,50.17
6/12/2026,BlaBlaCar,32.77
11/15/2025,BlaBlaCar,72.71
10/13/2025,BlaBlaCar,25.69
7/20/2026,BlaBlaCar,68.18
11/1/2025,BlaBlaCar,24.42
4/7/2026,Uber,73.71
1/4/2026,Uber,81.73
6/2/2026,BlaBlaCar,53.49
7/14/2026,BlaBlaCar,36.41
11/16/2025,Uber,53.78
6/21/2026,Uber,33.66
5/25/2026,BlaBlaCar,63.05
11/30/2025,BlaBlaCar,79.09
11/4/2025,BlaBlaCar,99.12
5/7/2026,BlaBlaCar,64.93
2/25/2026,Uber,78.62
1/22/2026,BlaBlaCar,98.11
6/20/2026,BlaBlaCar,51.5
7/9/2026,Uber,91.13
5/22/2026,BlaBlaCar,30.65
11/8/2025,BlaBlaCar,72.0
12/17/2025,Uber,34.45
11/13/2025,BlaBlaCar,51.79
2/16/2026,Uber,84.06
6/27/2026,BlaBlaCar,24.23
3/16/2026,BlaBlaCar,77.45
11/30/2025,BlaBlaCar,58.45
4/6/2026,Uber,98.66
8/19/2026,Uber,27.59
2/9/2026,BlaBlaCar,79.85
10/22/2025,Uber,29.41
9/9/2025,BlaBlaCar,41.72
7/11/2026,Uber,88.49
10/10/2025,Uber,31.56
2/17/2026,Uber,89.05
11/3/2025,BlaBlaCar,85.11
4/24/2026,BlaBlaCar,92.33
1/18/2026,Uber,69.84
1/30/2026,Uber,73.56
4/30/2026,BlaBlaCar,47.27
4/1/2026,BlaBlaCar,20.24
6/8/2026,Uber,63.81
7/30/2026,Uber,66.63
1/29/2026,Uber,81.73
3/4/2026,Uber,92.08
1/25/2026,Uber,69.11
7/13/2026,Uber,43.16
2/24/2026,Uber,97.86
9/13/2025,Uber,41.94
11/20/2025,Uber,55.83
12/22/2025,BlaBlaCar,76.05
3/6/2026,Uber,76.03
5/31/2026,BlaBlaCar,46.39
12/7/2025,Uber,61.64
11/15/2025,BlaBlaCar,38.2
6/12/2026,Uber,88.77
3/17/2026,BlaBlaCar,39.94
12/9/2025,Uber,38.15
6/22/2026,BlaBlaCar,57.16
11/22/2025,Uber,61.79
10/8/2025,BlaBlaCar,40.65
2/15/2026,BlaBlaCar,46.07
7/7/2026,Uber,45.39
4/16/2026,BlaBlaCar,30.57
1/15/2026,BlaBlaCar,63.99
2/10/2026,Uber,50.7
8/10/2026,BlaBlaCar,58.1
10/29/2025,BlaBlaCar,18.28
7/28/2026,Uber,45.49
4/6/2026,Uber,60.02
6/7/2026,BlaBlaCar,41.06
11/25/2025,BlaBlaCar,85.59
7/1/2026,BlaBlaCar,26.24
5/14/2026,Uber,29.8
12/31/2025,Uber,33.01
5/17/2026,Uber,67.59
5/8/2026,BlaBlaCar,19.65
11/27/2025,BlaBlaCar,95.87
5/16/2026,BlaBlaCar,68.18
1/18/2026,Uber,28.71
8/29/2026,Uber,73.82
11/23/2025,Uber,93.23
10/22/2025,Uber,27.74
3/11/2026,BlaBlaCar,75.44
7/26/2026,BlaBlaCar,79.24
1/6/2026,Uber,22.8
4/23/2026,BlaBlaCar,50.07
1/13/2026,BlaBlaCar,82.83
1/12/2026,Uber,77.57
9/24/2025,Uber,59.98
3/28/2026,Uber,90.04
3/16/2026,Uber,60.5
9/20/2025,Uber,59.24
2/18/2026,Uber,57.42
1/16/2026,BlaBlaCar,36.19
1/19/2026,BlaBlaCar,21.3
7/20/2026,Uber,17.25
3/27/2026,Uber,66.47
10/14/2025,BlaBlaCar,40.87
2/4/2026,BlaBlaCar,60.64
5/16/2026,Uber,67.61
10/13/2025,Uber,92.55
1/19/2026,Uber,63.76
9/18/2025,Uber,83.64
8/7/2026,BlaBlaCar,79.47
5/10/2026,Uber,56.63
11/2/2025,BlaBlaCar,81.93
12/31/2025,BlaBlaCar,40.46
8/9/2026,BlaBlaCar,30.2
2/12/2026,BlaBlaCar,62.91
6/19/2026,Uber,53.53
2/8/2026,Uber,64.34
12/13/2025,Uber,48.05
4/14/2026,BlaBlaCar,44.33
9/12/2025,Uber,56.37
11/15/2025,Uber,80.85
7/26/2026,BlaBlaCar,31.23
10/7/2025,Uber,70.38
8/30/2026,BlaBlaCar,92.08
4/29/2026,Uber,41.28
10/6/2025,BlaBlaCar,94.74
4/1/2026,Uber,94.56
4/25/2026,BlaBlaCar,24.49
12/28/2025,Uber,63.16
10/6/2025,BlaBlaCar,15.8
4/18/2026,BlaBlaCar,54.36
12/20/2025,BlaBlaCar,80.68
10/21/2025,BlaBlaCar,28.02
4/16/2026,Uber,95.62
3/17/2026,Uber,38.66
9/4/2025,Uber,73.75
4/6/2026,Uber,88.05
2/18/2026,BlaBlaCar,66.08
8/28/2026,BlaBlaCar,28.27
6/23/2026,BlaBlaCar,55.73
9/11/2025,BlaBlaCar,31.19
5/5/2026,Uber,60.85
12/3/2025,Uber,76.55
9/15/2025,BlaBlaCar,80.92
5/28/2026,BlaBlaCar,90.53
6/9/2026,BlaBlaCar,93.27
5/17/2026,Uber,24.24
8/7/2026,BlaBlaCar,52.36
3/31/2026,BlaBlaCar,21.44
5/27/2026,BlaBlaCar,47.87
4/19/2026,BlaBlaCar,61.1
2/22/2026,Uber,47.29
2/21/2026,BlaBlaCar,80.32
11/1/2025,Uber,86.41
2/15/2026,Uber,28.43
4/14/2026,Uber,33.88
12/6/2025,Uber,40.11
8/5/2026,Uber,58.11
4/13/2026,Uber,38.76
9/19/2025,Uber,97.98
4/8/2026,Uber,68.87
1/7/2026,Uber,47.65
9/10/2025,Uber,61.04
7/9/2026,Uber,44.11
10/17/2025,Uber,67.02
10/21/2025,BlaBlaCar,43.52
12/3/2025,Uber,61.44
8/4/2026,BlaBlaCar,72.46
3/15/2026,Uber,74.07
8/25/2026,BlaBlaCar,42.48
11/11/2025,Uber,95.35
10/26/2025,Uber,87.29
7/9/2026,BlaBlaCar,25.81
11/11/2025,BlaBlaCar,54.94
8/23/2026,BlaBlaCar,82.66
4/22/2026,Uber,96.14
5/16/2026,Uber,71.74
5/31/2026,BlaBlaCar,61.66
11/7/2025,Uber,28.17
1/10/2026,BlaBlaCar,59.59
4/16/2026,BlaBlaCar,30.98
7/8/2026,Uber,65.21
12/15/2025,Uber,64.32
1/26/2026,Uber,79.81
9/1/2026,Uber,16.87
12/18/2025,Uber,35.33
8/19/2026,BlaBlaCar,22.51
11/4/2025,BlaBlaCar,97.45
5/11/2026,BlaBlaCar,60.66
9/9/2025,BlaBlaCar,95.15
5/13/2026,BlaBlaCar,23.87
8/22/2026,BlaBlaCar,96.25
3/10/2026,Uber,76.29
10/7/2025,Uber,43.15
10/19/2025,BlaBlaCar,77.71
3/6/2026,BlaBlaCar,80.35
2/5/2026,BlaBlaCar,60.65
6/30/2026,BlaBlaCar,20.51
4/6/2026,BlaBlaCar,39.61
12/31/2025,Uber,30.03
5/21/2026,BlaBlaCar,16.27
12/7/2025,Uber,37.31
4/5/2026,Uber,39.31
6/13/2026,BlaBlaCar,92.83
8/31/2026,Uber,91.73
12/7/2025,Uber,86.59
10/9/2025,BlaBlaCar,23.13
1/10/2026,BlaBlaCar,75.2
5/2/2026,Uber,32.49
4/16/2026,BlaBlaCar,63.36
8/29/2026,Uber,97.73
4/24/2026,Uber,39.51
6/18/2026,BlaBlaCar,31.27
10/25/2025,BlaBlaCar,81.86
1/11/2026,Uber,91.74
3/2/2026,Uber,46.57
6/2/2026,Uber,82.05
6/10/2026,Uber,29.99
1/3/2026,Uber,88.46
1/15/2026,BlaBlaCar,62.37
3/20/2026,Uber,65.8
8/10/2026,Uber,26.16
10/19/2025,Uber,36.57
12/17/2025,BlaBlaCar,24.98
5/5/2026,Uber,74.46
11/25/2025,BlaBlaCar,24.89
5/9/2026,Uber,85.98
4/26/2026,Uber,71.48
11/29/2025,Uber,62.03
8/28/2026,BlaBlaCar,15.75
1/28/2026,Uber,28.59
3/27/2026,Uber,92.59
12/1/2025,BlaBlaCar,25.66
8/30/2026,Uber,84.43
7/22/2026,Uber,15.4
10/9/2025,BlaBlaCar,29.02
11/30/2025,BlaBlaCar,92.98
3/28/2026,Uber,36.32
10/17/2025,BlaBlaCar,43.52
7/26/2026,Uber,91.34
6/25/2026,Uber,44.04
8/3/2026,Uber,68.53
9/6/2025,Uber,50.71
4/27/2026,BlaBlaCar,15.64
5/1/2026,BlaBlaCar,34.82
12/6/2025,Uber,89.9
